Text,SQL
"Retrieve all employees from the ""employees"" table.",SELECT * FROM employees;
"Find the total sales for each product category in the ""products"" table.","SELECT category, SUM(sales) AS total_sales FROM products GROUP BY category;"
"Show the average salary of employees in the ""employee_info"" table.",SELECT AVG(salary) AS average_salary FROM employee_info;
"List all customers who made a purchase in the last month from the ""customer_orders"" table.",SELECT * FROM customer_orders WHERE purchase_date > CURRENT_DATE - INTERVAL '1' MONTH;
"Display the details of orders placed by customer ID 101 from the ""orders"" table.",SELECT * FROM orders WHERE customer_id = 101;
"Identify the number of products in each warehouse from the ""inventory"" table.","SELECT warehouse_id, COUNT(*) AS product_count FROM inventory GROUP BY warehouse_id;"
"List the top 5 highest paid employees from the ""salary_info"" table.",SELECT * FROM salary_info ORDER BY salary DESC LIMIT 5;
"Retrieve the names and prices of products with prices greater than $100 from the ""product_prices"" table.","SELECT name, price FROM product_prices WHERE price > 100;"
"Find customers who have not made any purchases from the ""customer_orders"" table.",SELECT * FROM customer_orders WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM orders);
"Show the total revenue generated by each product from the ""sales_data"" table.","SELECT product_id, SUM(price * quantity) AS total_revenue FROM sales_data GROUP BY product_id;"
"List employees who joined the company in the last year from the ""employee_info"" table.",SELECT * FROM employee_info WHERE join_date > CURRENT_DATE - INTERVAL '1' YEAR;
"Retrieve orders placed on weekends from the ""order_dates"" table.","SELECT * FROM order_dates WHERE EXTRACT(DOW FROM order_date) IN (0, 6);"
"Display the names of customers who purchased more than 3 products from the ""customer_orders"" table.",SELECT customers.name FROM customers JOIN customer_orders ON customers.customer_id = customer_orders.customer_id GROUP BY customers.customer_id HAVING COUNT(customer_orders.order_id) > 3;
"Find the average order value from the ""order_details"" table.",SELECT AVG(total_price) AS average_order_value FROM order_details;
"Identify the customers who have spent more than $500 in total from the ""customer_orders"" table.","SELECT customer_id, SUM(total_price) AS total_spent FROM customer_orders GROUP BY customer_id HAVING SUM(total_price) > 500;"
"Fetch the product names and quantities from the ""inventory"" table where quantity is less than 10.","SELECT product_name, quantity FROM inventory WHERE quantity < 10;"
"List all unique product categories from the ""products"" table.",SELECT DISTINCT category FROM products;
"Show the total number of employees in each department from the ""employee_info"" table.","SELECT department, COUNT(*) AS employee_count FROM employee_info GROUP BY department;"
"Retrieve the names of customers who placed orders in the last 7 days from the ""customer_orders"" table.",SELECT name FROM customers WHERE purchase_date > CURRENT_DATE - INTERVAL '7' DAY;
"Find the average price of products in each category from the ""products"" table.","SELECT AVG(price) AS average_price, category FROM products GROUP BY category;"
"Display the names and ages of employees who are older than 40 from the ""employee_info"" table.","SELECT name, age FROM employee_info WHERE age > 40;"
"List all products with prices between $50 and $100 from the ""product_prices"" table.","SELECT name, price FROM product_prices WHERE price BETWEEN 50 AND 100;"
"Show the total quantity of each product in stock from the ""inventory"" table.","SELECT product_name, SUM(quantity) AS total_quantity FROM inventory GROUP BY product_name;"
"Identify customers who have made purchases in more than one product category from the ""customer_orders"" table.",SELECT customer_id FROM customer_orders GROUP BY customer_id HAVING COUNT(DISTINCT category) > 1;
"Retrieve the names and hire dates of employees who joined in the last 6 months from the ""employee_info"" table.","SELECT name, hire_date FROM employee_info WHERE join_date > CURRENT_DATE - INTERVAL '6' MONTH;"
"Find the total number of orders placed by each customer from the ""customer_orders"" table.","SELECT customer_id, COUNT(order_id) AS total_orders FROM customer_orders GROUP BY customer_id;"
"Display the product names and prices in descending order of prices from the ""product_prices"" table.","SELECT product_name, price FROM product_prices ORDER BY price DESC;"
"List all employees who have not been assigned to a department from the ""employee_info"" table.",SELECT * FROM employee_info WHERE department IS NULL;
"Show the average rating of products in each category from the ""products"" table.","SELECT AVG(rating) AS average_rating, category FROM products GROUP BY category;"
"Find customers who have made purchases on weekdays from the ""customer_orders"" table.","SELECT name FROM customer_orders WHERE EXTRACT(DOW FROM purchase_date) IN (0, 6);"
"Retrieve the names and ages of employees who have a salary greater than $80,000 from the ""salary_info"" table.","SELECT name, age FROM employee_info WHERE salary > 80000;"
"Identify the customers who have spent the most in total from the ""customer_orders"" table.",SELECT customer_id FROM customer_orders ORDER BY total_price DESC LIMIT 1;
"List the product names and their respective suppliers from the ""product_suppliers"" table.","SELECT product_name, supplier_name FROM product_suppliers;"
"Show the total number of orders placed each month from the ""customer_orders"" table.","SELECT EXTRACT(MONTH FROM order_date) AS month, COUNT(*) AS total_orders FROM customer_orders GROUP BY EXTRACT(MONTH FROM order_date);"
"Find the employees with the highest and lowest salaries from the ""salary_info"" table.","SELECT MAX(salary), MIN(salary) FROM salary_info;"
"Display the names of customers who have not made any purchases in the last 3 months from the ""customer_orders"" table.",SELECT name FROM customers WHERE purchase_date < CURRENT_DATE - INTERVAL '3' MONTH;
"Retrieve the product names and quantities where quantities are greater than the average quantity from the ""inventory"" table.","SELECT product_name, quantity FROM inventory WHERE quantity > (SELECT AVG(quantity) FROM inventory);"
"List all products with a rating above 4.5 from the ""product_ratings"" table.","SELECT product_name, rating FROM product_ratings WHERE rating > 4.5;"
"Show the total sales for each region from the ""sales_data"" table.","SELECT region, SUM(sales) AS total_sales FROM sales_data GROUP BY region;"
"Find the average salary of employees in each department from the ""employee_info"" table.","SELECT AVG(salary) AS average_salary, department FROM employee_info GROUP BY department;"
"Identify the customers who have made purchases on weekends from the ""customer_orders"" table.","SELECT name FROM customer_orders WHERE EXTRACT(DOW FROM purchase_date) IN (0, 6);"
"Retrieve the names of employees who have been with the company for more than 10 years from the ""employee_info"" table.","SELECT name, age FROM employee_info WHERE years_with_company > 10;"
"Display the names and ages of employees who are between 30 and 40 years old from the ""employee_info"" table.","SELECT name, age FROM employee_info WHERE age BETWEEN 30 AND 40;"
"List all products with no stock available from the ""inventory"" table.",SELECT product_name FROM inventory WHERE quantity = 0;
"Show the total revenue generated by each supplier from the ""supplier_sales"" table.","SELECT supplier_name, SUM(revenue) AS total_revenue FROM supplier_sales GROUP BY supplier_name;"
"Find the average order value for each customer from the ""customer_orders"" table.","SELECT AVG(total_price) AS average_order_value, customer_id FROM customer_orders GROUP BY customer_id;"
"Retrieve the names and prices of the three most expensive products from the ""product_prices"" table.","SELECT name, price FROM product_prices ORDER BY price DESC LIMIT 3;"
"Identify the customers who have made purchases in every product category from the ""customer_orders"" table.",SELECT customer_id FROM customer_orders GROUP BY customer_id HAVING COUNT(DISTINCT category) = (SELECT COUNT(DISTINCT category) FROM products);
"List all employees who have attended training sessions in the last month from the ""training_data"" table.",SELECT name FROM employee_training WHERE training_date > CURRENT_DATE - INTERVAL '1' MONTH;
"Display the names of customers who have made multiple purchases in a single day from the ""customer_orders"" table.","SELECT name FROM customer_orders GROUP BY customer_id, purchase_date HAVING COUNT(order_id) > 1;"
"Find the products with the highest and lowest sales quantities from the ""sales_data"" table.","SELECT product_name, MAX(quantity) AS max_quantity, MIN(quantity) AS min_quantity FROM sales_data GROUP BY product_name;"
"Show the total number of products in stock for each supplier from the ""inventory"" table.","SELECT supplier_name, COUNT(product_name) AS total_products FROM inventory GROUP BY supplier_name;"
"Retrieve the names of customers who have not made any purchases in the last 6 months from the ""customer_orders"" table.",SELECT name FROM customers WHERE purchase_date < CURRENT_DATE - INTERVAL '6' MONTH;
"List the top 10 best-selling products from the ""sales_data"" table.",SELECT product_name FROM sales_data ORDER BY quantity_sold DESC LIMIT 10;
"Find the average salary of employees who have completed a specific certification from the ""employee_certifications"" table.",SELECT AVG(salary) AS average_salary FROM employee_info WHERE certification = 'Specific Certification';
"Identify the customers who have made purchases in every month of the last year from the ""customer_orders"" table.","SELECT customer_id FROM customer_orders WHERE EXTRACT(MONTH FROM purchase_date) IN (1, 2, 3);"
"Display the names and ages of employees who have been promoted in the last 6 months from the ""employee_promotions"" table.","SELECT name, age FROM employee_promotions WHERE promotion_date > CURRENT_DATE - INTERVAL '6' MONTH;"
"Retrieve the names and prices of products that were released in the last 3 months from the ""new_products"" table.","SELECT name, price FROM new_products WHERE release_date > CURRENT_DATE - INTERVAL '3' MONTH;"
