Json data,react code
"// data.json
{
  ""name"": ""John Doe"",
  ""age"": 25,
  ""city"": ""New York""
}","// MyComponent.js
import React from 'react';
import data from './data.json';

const MyComponent = () => {
  return (
    <div>
      <p>Name: {data.name}</p>
      <p>Age: {data.age}</p>
      <p>City: {data.city}</p>
    </div>
  );
};

export default MyComponent;"
"// items.json
{
  ""items"": [
    { ""id"": 1, ""name"": ""Item 1"" },
    { ""id"": 2, ""name"": ""Item 2"" },
    { ""id"": 3, ""name"": ""Item 3"" }
  ]
}","// ItemList.js
import React from 'react';
import itemsData from './items.json';

const ItemList = () => {
  return (
    <ul>
      {itemsData.items.map(item => (
        <li key={item.id}>{item.name}</li>
      ))}
    </ul>
  );
};

export default ItemList;"
"// status.json
{
  ""online"": true
}","// StatusComponent.js
import React from 'react';
import statusData from './status.json';

const StatusComponent = () => {
  return (
    <div>
      <p>Status: {statusData.online ? 'Online' : 'Offline'}</p>
    </div>
  );
};

export default StatusComponent;"
"{
  ""title"": ""My Website"",
  ""subtitle"": ""Welcome to my website!"",
  ""logo"": ""path/to/logo.png""
}","import React from 'react';
import data from './header.json';

const HeaderComponent = () => {
  const { title, subtitle, logo } = data;

  return (
    <header>
      <img src={logo} alt=""Logo"" />
      <h1>{title}</h1>
      <p>{subtitle}</p>
    </header>
  );
};

export default HeaderComponent;"
"{
  ""csvData"": [
    ""Name, Age, City"",
    ""John Doe, 25, New York"",
    ""Jane Smith, 30, San Francisco""
  ]
}","import React from 'react';
import csvData from './csvData.json';

const CSVComponent = () => {
  return (
    <div>
      <h2>CSV Data</h2>
      <ul>
        {csvData.csvData.map((line, index) => (
          <li key={index}>{line}</li>
        ))}
      </ul>
    </div>
  );
};

export default CSVComponent;"
"{
  ""formData"": {
    ""name"": """",
    ""email"": """",
    ""message"": """"
  }
}
","import React, { useState } from 'react';
import data from './formData.json';

const FormComponent = () => {
  const [formData, setFormData] = useState(data.formData);

  const handleChange = (e) => {
    setFormData({ ...formData, [e.target.name]: e.target.value });
  };

  const handleSubmit = (e) => {
    e.preventDefault();
    // Handle form submission logic
  };

  return (
    <form onSubmit={handleSubmit}>
      <label>Name:</label>
      <input type=""text"" name=""name"" value={formData.name} onChange={handleChange} />

      <label>Email:</label>
      <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} />

      <label>Message:</label>
      <textarea name=""message"" value={formData.message} onChange={handleChange}></textarea>

      <button type=""submit"">Submit</button>
    </form>
  );
};

export default FormComponent;"
"{
  ""parent"": {
    ""title"": ""Parent Component"",
    ""child"": {
      ""title"": ""Child Component"",
      ""content"": ""This is the content of the child component.""
    }
  }
}","import React from 'react';
import nestedData from './nestedComponents.json';

const NestedComponents = () => {
  const { title, child } = nestedData.parent;

  return (
    <div>
      <h2>{title}</h2>
      <div>
        <h3>{child.title}</h3>
        <p>{child.content}</p>
      </div>
    </div>
  );
};

export default NestedComponents;"
"{
  ""isLoggedIn"": true,
  ""username"": ""user123""
}","import React from 'react';
import userData from './conditionalRendering.json';

const ConditionalRenderingComponent = () => {
  return (
    <div>
      {userData.isLoggedIn ? (
        <p>Welcome, {userData.username}!</p>
      ) : (
        <p>Please log in to continue.</p>
      )}
    </div>
  );
};

export default ConditionalRenderingComponent;"
"{""formData"": {""name"": """", ""email"": """", ""message"": """"}}","jsx import React, { useState } from 'react'; import data from './formData.json'; const FormComponent = () => { const [formData, setFormData] = useState(data.formData); const handleChange = (e) => { setFormData({ ...formData, [e.target.name]: e.target.value }); }; const handleSubmit = (e) => { e.preventDefault(); // Handle form submission logic }; return ( <form onSubmit={handleSubmit}> <label>Name:</label> <input type=""text"" name=""name"" value={formData.name} onChange={handleChange} /> <label>Email:</label> <input type=""email"" name=""email"" value={formData.email} onChange={handleChange} /> <label>Message:</label> <textarea name=""message"" value={formData.message} onChange={handleChange}></textarea> <button type=""submit"">Submit</button> </form> ); }; export default FormComponent;"
"{""menuItems"": [{""id"": 1, ""label"": ""Home"", ""url"": ""/""}, {""id"": 2, ""label"": ""About Us"", ""url"": ""/about""}, {""id"": 3, ""label"": ""Services"", ""url"": ""/services""}, {""id"": 4, ""label"": ""Contact"", ""url"": ""/contact""}]}",jsx import React from 'react'; import menuData from './menuItems.json'; const NavbarComponent = () => { return ( <nav> <ul> {menuData.menuItems.map(item => ( <li key={item.id}> <a href={item.url}>{item.label}</a> </li> ))} </ul> </nav> ); }; export default NavbarComponent;
